what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1312488722906
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1312488722937
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1312488722984
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1312488723031
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1312488723093
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1312488723156
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1312488723187
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1312488723202
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1312488723218
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1312488723249
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1312488723265
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1312488723281
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1312488723296
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1312488723312
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1312488723374
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1312488723390
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1312488723406
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1312488723437
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1312488723437
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1312488723484
os,sysinfo,,,"win32",1312488723484
arch,sysinfo,,,"x86",1312488723484
ws,sysinfo,,,"win32",1312488723484
locale,sysinfo,,,"en_GB",1312488723484
processors,sysinfo,,,"1",1312488723484
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312488723484
java.runtime.version,sysinfo,,,"1.6.0_10-b33",1312488723484
java.specification.name,sysinfo,,,"Java Platform API Specification",1312488723484
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312488723484
java.specification.version,sysinfo,,,"1.6",1312488723484
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312488723484
java.version,sysinfo,,,"1.6.0_10",1312488723484
java.vm.info,sysinfo,,,"mixed mode",1312488723484
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312488723484
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312488723484
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312488723484
java.vm.specification.version,sysinfo,,,"1.0",1312488723484
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312488723484
java.vm.version,sysinfo,,,"11.0-b15",1312488723484
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1312488724499
started,bundle,org.eclipse.wst.dtd.core,1.1.500.v201103300335,"org.eclipse.wst.dtd.core",1312488724577
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1312488724687
started,bundle,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui",1312488724952
started,bundle,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.ui",1312488724968
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1312488725062
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1312488725234
started,bundle,org.eclipse.jst.jsf.core,1.3.5.v201105031140,"org.eclipse.jst.jsf.core",1312488725312
started,bundle,org.eclipse.jst.jsp.core,1.2.400.v201105162116,"org.eclipse.jst.jsp.core",1312488725499
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1312488726812
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1312488726874
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1312488727062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488727140
started,bundle,org.eclipse.wst.css.core,1.1.500.v201104191926,"org.eclipse.wst.css.core",1312488730234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488742702
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1312488745937
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1312488745984
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1312488746015
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.502.v201105180500,"org.eclipse.jst.j2ee.ejb",1312488747984
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1312488748062
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1312488748156
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1312488748171
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312488764327
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312488764531
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312488768515
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312488768546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488770546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488777249
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488784702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488792718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488794624
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488795937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488797327
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488798265
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1312488800952
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488806718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488815968
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312488818156
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312488818374
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312488820343
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312488820343
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1312488820874
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1312488823812
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1312488823827
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1312488824015
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1312488824749
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1312488825234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1312488826671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488831390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488832906
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312488834140
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312488834281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488842062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488843968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488845031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312488960859
opened,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1312488964999
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1312488965109
